1,2,3,4,5
0.35,262.5,57.4,37,21.237999999999996
0.35,262.5,46.7,37,17.279
0.35,262.5,33.7,37,12.469000000000001
0.35,262.5,27.1,37,10.027000000000001
0.35,262.5,27.3,37,10.101
0.35,262.5,28.1,37,10.397
0.35,262.5,33.4,37,12.358
0.35,262.5,34.5,37,12.765
0.34,255.00000000000003,28.9,35,10.115
0.35,262.5,31.4,37,11.618
0.35,262.5,29.7,37,10.988999999999999
0.35,262.5,30.5,37,11.285
0.35,262.5,33.7,37,12.469000000000001
0.36,270.0,36.3,35,12.705
0.36,270.0,62.4,35,21.84
0.35,262.5,38.1,37,14.097000000000001
0.35,262.5,32.4,37,11.988
0.35,262.5,39.2,37,14.504000000000001
0.36,270.0,41.8,35,14.63
0.35,262.5,32.4,37,11.988
0.35,262.5,38.5,37,14.245000000000001
0.36,270.0,46.9,35,16.415
0.35,262.5,36.2,37,13.394000000000002
0.35,262.5,34.9,37,12.913
0.35,262.5,45.6,37,16.872
0.35,262.5,49.7,37,18.389000000000003
0.36,270.0,38.9,35,13.615
0.35,262.5,44.9,37,16.613
0.36,270.0,40.8,35,14.280000000000001
0.35,262.5,61.3,37,22.681
0.35,262.5,43.1,37,15.947000000000001
0.35,262.5,46.1,37,17.057000000000002
0.36,270.0,47.1,35,16.485
0.36,270.0,42.6,35,14.91
0.35,262.5,40.6,37,15.022
0.35,262.5,40.5,37,14.985
0.35,262.5,65.5,37,24.235
0.35,262.5,44.4,37,16.428
0.35,262.5,34.6,37,12.802000000000001
0.35,262.5,32.3,37,11.950999999999999
0.35,262.5,42.0,37,15.540000000000001
0.35,262.5,37.9,37,14.023
0.35,262.5,36.4,37,13.468
0.36,270.0,32.3,35,11.305
0.36,270.0,35.6,35,12.46
0.35,262.5,36.9,37,13.653
0.35,262.5,33.2,37,12.284
0.35,262.5,38.3,37,14.171
0.34,255.00000000000003,37.5,35,13.125
0.35,262.5,36.4,37,13.468
0.35,262.5,35.0,37,12.950000000000001
0.345,258.75,35.2,37,13.024000000000001
0.35,262.5,36.1,37,13.357000000000001
0.352,264.0,37.2,37,13.764000000000001
0.355,266.25,36.4,37,13.468
0.347,260.25,36.0,37,13.32
0.35,262.5,37.4,37,13.838
0.348,261.0,39.8,37,14.725999999999999
0.352,264.0,38.6,37,14.282
0.345,258.75,38.0,37,14.06
0.25,187.5,37.3,37,13.801
0.25,187.5,41.8,37,15.466
0.25,187.5,51.4,37,19.018
0.25,187.5,41.9,37,15.503
0.25,187.5,41.2,37,15.244000000000002
