Концентрация CH4,"Расход смеси, м3/мин","Расход CH4, м3/мин"
57.4,37,21.237999999999996
46.7,37,17.279
33.7,37,12.469000000000001
27.1,37,10.027000000000001
27.3,37,10.101
28.1,37,10.397
33.4,37,12.358
34.5,37,12.765
28.9,35,10.115
31.4,37,11.618
29.7,37,10.988999999999999
30.5,37,11.285
33.7,37,12.469000000000001
36.3,35,12.705
62.4,35,21.84
38.1,37,14.097000000000001
32.4,37,11.988
39.2,37,14.504000000000001
41.8,35,14.63
32.4,37,11.988
38.5,37,14.245000000000001
46.9,35,16.415
36.2,37,13.394000000000002
34.9,37,12.913
45.6,37,16.872
49.7,37,18.389000000000003
38.9,35,13.615
44.9,37,16.613
40.8,35,14.280000000000001
61.3,37,22.681
43.1,37,15.947000000000001
46.1,37,17.057000000000002
47.1,35,16.485
42.6,35,14.91
40.6,37,15.022
40.5,37,14.985
65.5,37,24.235
44.4,37,16.428
34.6,37,12.802000000000001
32.3,37,11.950999999999999
42.0,37,15.540000000000001
37.9,37,14.023
36.4,37,13.468
32.3,35,11.305
35.6,35,12.46
36.9,37,13.653
33.2,37,12.284
38.3,37,14.171
37.5,35,13.125
36.4,37,13.468
35.0,37,12.950000000000001
35.2,37,13.024000000000001
36.1,37,13.357000000000001
37.2,37,13.764000000000001
36.4,37,13.468
36.0,37,13.32
37.4,37,13.838
39.8,37,14.725999999999999
38.6,37,14.282
38.0,37,14.06
37.3,37,13.801
41.8,37,15.466
51.4,37,19.018
41.9,37,15.503
41.2,37,15.244000000000002
53.3,37,19.721
48.6,37,17.982
60.7,37,22.459
61.5,35,21.525000000000002
56.0,35,19.6
42.5,35,14.875
56.1,35,19.635
48.3,35,16.905
40.9,37,15.133
46.2,35,16.17
38.6,35,13.51
46.6,37,17.242
42.3,37,15.651
37.9,35,13.265
44.2,37,16.354000000000003
39.9,37,14.763
40.2,37,14.874
38.7,35,13.545
41.4,35,14.49
46.1,37,17.057000000000002
41.8,37,15.466
39.6,37,14.652000000000001
37.5,37,13.875
37.2,37,13.764000000000001
37.6,37,13.912
38.6,35,13.51
38.4,37,14.208
37.9,37,14.023
37.3,37,13.801
45.6,37,16.872
49.8,37,18.426
50.1,37,18.537000000000003
42.1,37,15.577
37.3,37,13.801
30.7,37,11.358999999999998
34.9,37,12.913
42.6,37,15.762
39.5,37,14.615
33.1,37,12.247
30.2,35,10.57
36.1,35,12.635
29.6,37,10.952
30.5,37,11.285
43.6,35,15.26
38.6,37,14.282
41.4,37,15.318
36.4,37,13.468
40.1,37,14.837000000000002
42.9,37,15.873
57.4,35,20.09
42.7,37,15.799000000000001
52.1,35,18.235
39.6,37,14.652000000000001
48.4,37,17.908
32.9,35,11.515
42.1,35,14.735
53.5,35,18.725
42.0,35,14.700000000000001
42.9,37,15.873
47.5,37,17.575
57.7,37,21.349
50.1,37,18.537000000000003
58.2,37,21.534000000000002
53.9,37,19.943
49.8,37,18.426
56.7,37,20.979000000000003
51.3,37,18.980999999999998
47.7,37,17.649
51.1,37,18.907
44.9,37,16.613
49.2,37,18.204
45.4,35,15.89
41.5,37,15.355
42.3,37,15.651
